name,Feedstock,Hydrochar,Hydrochar HHV,TOPSIS Score
stdBSG_sa_ub_190C_1hr,0.09096654701157336,0.001414020370400434,0.040013827921155765,0.9442652842274566
stdBSG_sa_lb_190C_1hr,0.09220256888374138,0.0013962697634448047,0.039533853067247826,0.9435094723772879
rawSRU50_rawDCW50_sa_ub_190C_1hr,0.0909771195907998,0.0014585932926813889,0.04118583237154662,0.9423553009992499
rawSRU33_rawDCW33_rawBSG33_sa_ub_190C_1hr,0.09272780561826979,0.001416183467140448,0.0400439602030407,0.9421299100384498
rawSRU50_rawDCW50_190C_1hr,0.09311319251778782,0.0014197848477254024,0.04013607195178845,0.9415364753599033
rawSRU33_rawDCW33_rawBSG33_190C_1hr,0.09417811603092203,0.0013937547702852636,0.039437481835914494,0.9412636408390912
rawSRU33_rawDCW33_rawBSG33_sa_lb_190C_1hr,0.09565244987161589,0.001373004661347556,0.03887645256348324,0.9402123591063662
rawSRU50_rawDCW50_sa_lb_190C_1hr,0.09531784310695052,0.001385552808529903,0.03921038547981656,0.940190327103601
stdBSG_190C_1hr,0.09402185968755009,0.0014050052337783272,0.05337922228018754,0.9270041472073768
rawSRU50_rawBSG50_sa_ub_190C_1hr,0.1093087613476476,0.0012318868951141178,0.03516474358368509,0.9265413621601457
rawSRU50_rawBSG50_190C_1hr,0.11162020873766954,0.0012167001192154659,0.03474947367049378,0.9238660421807711
rawSRU50_rawBSG50_sa_lb_190C_1hr,0.11394296141761293,0.0012025919498001455,0.0343635791778732,0.9211467461290909
rawDCW50_rawBSG50_sa_lb_190C_1hr,0.07612796390996857,0.0019784458848518633,0.05501306051059812,0.920229076277601
rawDCW50_rawBSG50_190C_1hr,0.07597889530889325,0.0019975231315624616,0.055526638541102895,0.9187868182959563
rawDCW50_rawBSG50_sa_ub_190C_1hr,0.07583718965839055,0.002017234506951555,0.05605741530605965,0.917283434401607
rawSRU33_rawDCW33_rawBSG33_sa_ub_220C_1hr,0.109930915719749,0.0016337096495894095,0.04505156329874711,0.913711512209435
rawSRU50_rawDCW50_sa_ub_220C_1hr,0.10876789180778647,0.0016726021243119132,0.045991537715989475,0.9132748282576738
rawSRU33_rawDCW33_rawBSG33_220C_1hr,0.11166529683716417,0.001607031710239438,0.04437520621414569,0.9128919629811053
rawSRU50_rawDCW50_220C_1hr,0.1113718706492209,0.0016271140166550942,0.04483949554826324,0.9124099290287346
rawSRU33_rawDCW33_rawBSG33_sa_lb_220C_1hr,0.1134277442297696,0.001582345994021933,0.04374947119288945,0.9118690993107187
rawSRU50_rawDCW50_sa_lb_220C_1hr,0.11405601615522577,0.001586974083973339,0.04382345945577733,0.9109918199466622
